Qty,Value,Link,Supplier,LCSC,Price,Order Qty. (becouse of MOQ),Price
2,18pF,https://www.lcsc.com/product-detail/C1647.html,LSCS,C1647,$0.0052 ,100,$0.52 
9,100nF,https://www.lcsc.com/product-detail/C83054.html,LSCS,C83054,$0.0027 ,100,$0.27 
2,10uF,https://www.lcsc.com/product-detail/C110055.html,LSCS,C110055,$0.1550 ,2,$0.31 
1,4.7uF,https://www.lcsc.com/product-detail/C389010.html,LSCS,C389010,$0.0688 ,5,$0.34 
2,10nF,https://www.lcsc.com/product-detail/C100042.html,LSCS,C100042,$0.0022 ,100,$0.22 
2,6.8nF,https://www.lcsc.com/product-detail/C1631.html,LSCS,C1631,$0.0030 ,100,$0.30 
1,1nF,https://www.lcsc.com/product-detail/C161353.html,LSCS,C161353,$0.0350 ,20,$0.70 
1,22nF,https://www.lcsc.com/product-detail/C21122.html,LSCS,C21122,$0.0040 ,50,$0.20 
1,10uF,https://www.lcsc.com/product-detail/C85713.html,LSCS,C85713,$0.0057 ,50,$0.29 
2,1uF,https://www.lcsc.com/product-detail/C15849.html,LSCS,C15849,$0.0051 ,50,$0.26 
4,CC0603KRX7R9BB104,https://www.lcsc.com/product-detail/C14663.html,LSCS,C14663,$0.0025 ,100,$0.25 
3,SS34_C154551,https://www.lcsc.com/product-detail/C154551.html,LSCS,C154551,$0.4256 ,3,$1.28 
4,SM712-02HTG,https://www.lcsc.com/product-detail/C172881.html,LSCS,C172881,$0.2374 ,5,$1.19 
4,DIN-323PP,https://www.lcsc.com/product-detail/C309317.html,LSCS,C309317,$0.6509 ,4,$2.60 
2,BLM18SG121TN1D,https://www.lcsc.com/product-detail/C113030.html,LSCS,C113030,$0.0351 ,20,$0.70 
1,ME6211C33M5G-N,https://www.lcsc.com/product-detail/C82942.html,LSCS,C82942,$0.0471 ,100,$4.71 
1,GREEN,https://www.lcsc.com/product-detail/C12065.html,LSCS,C12065,$0.0329 ,20,$0.66 
1,RED,https://www.lcsc.com/product-detail/C125099.html,LSCS,C125099,$0.0169 ,50,$0.85 
1,FS8205A,https://www.lcsc.com/product-detail/C2830320.html,LSCS,C2830320,$0.0459 ,10,$0.46 
1,AO3401_C5296722,https://www.lcsc.com/product-detail/C5296722.html,LSCS,C5296722,$0.0352 ,20,$0.70 
1,1M,https://www.lcsc.com/product-detail/C107698.html,LSCS,C107698,$0.0012 ,100,$0.12 
1,12.4K,https://www.lcsc.com/product-detail/C137798.html,LSCS,C137798,$0.0013 ,100,$0.13 
4,49.9K,https://www.lcsc.com/product-detail/C114624.html,LSCS,C114624,$0.0013 ,100,$0.13 
1,10K,https://www.lcsc.com/product-detail/C98220.html,LSCS,C98220,$0.0013 ,100,$0.13 
2,330,https://www.lcsc.com/product-detail/C105881.html,LSCS,C105881,$0.0013 ,100,$0.13 
4,33,https://www.lcsc.com/product-detail/C108661.html,LSCS,C108661,$0.0014 ,100,$0.14 
3,4.7K,https://www.lcsc.com/product-detail/C99782.html,LSCS,C99782,$0.0013 ,100,$0.13 
2,5.1kÎ©,https://www.lcsc.com/product-detail/C25905.html,LSCS,C25905,$0.0006 ,100,$0.06 
3,1K,https://www.lcsc.com/product-detail/C180848.html,LSCS,C180848,$0.0053 ,100,$0.53 
1,1.2KÎ©,https://www.lcsc.com/product-detail/C114679.html,LSCS,C114679,$0.0012 ,100,$0.12 
1,100Î©,https://www.lcsc.com/product-detail/C25201.html,LSCS,C25201,$0.0011 ,100,$0.11 
1,100kÎ©,https://www.lcsc.com/product-detail/C25803.html,LSCS,C25803,$0.0011 ,100,$0.11 
8,10Î©,https://www.lcsc.com/product-detail/C109318.html,LSCS,C109318,$0.0029 ,100,$0.29 
1,HOJLR2512-3W-100MR-1%,https://www.lcsc.com/product-detail/C2903476.html,LSCS,C2903476,$0.1044 ,5,$0.52 
8,1kÎ©,https://www.lcsc.com/product-detail/C21190.html,LSCS,C21190,$0.0012 ,100,$0.12 
3,SKRTLAE010,https://www.lcsc.com/product-detail/C110293.html,LSCS,C110293,$0.1233 ,5,$0.62 
1,W5500,https://www.lcsc.com/product-detail/C32843.html,LSCS,C32843,$2.6602 ,1,$2.66 
1,HR861153C,https://www.lcsc.com/product-detail/C19724782.html,LSCS,C19724782,$2.5838 ,1,$2.58 
1,DP1435-5V,https://www.lcsc.com/product-detail/C5380097.html,LSCS,C5380097,$4.9875 ,1,$4.99 
1,TP4056,https://www.lcsc.com/product-detail/C16581.html,LSCS,C16581,$0.1784 ,5,$0.89 
1,DW01A,https://www.lcsc.com/product-detail/C351410.html,LSCS,C351410,$0.0412 ,20,$0.82 
1,2.0MM-2P ZZ,https://www.lcsc.com/product-detail/C5368724.html,LSCS,C5368724,$0.0059 ,100,$0.59 
