Ref,Val,Package,PosX,PosY,Rot,Side
"C20","100nF","C_0603",132.200000,-100.900000,180.000000,bottom
"C24","CC0603KRX7R9BB104","C0603",147.500000,-116.200000,90.000000,bottom
"C25","CC0603KRX7R9BB104","C0603",176.800000,-116.600000,90.000000,bottom
"C26","CC0603KRX7R9BB104","C0603",206.300000,-115.900000,90.000000,bottom
"C27","CC0603KRX7R9BB104","C0603",117.300000,-116.000000,90.000000,bottom
"D4","SM712-02HTG","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",113.300000,-123.200000,-90.000000,bottom
"D5","SM712-02HTG","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",143.800000,-123.100000,-90.000000,bottom
"D6","SM712-02HTG","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",203.200000,-123.200000,-90.000000,bottom
"D7","SM712-02HTG","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",173.200000,-123.200000,-90.000000,bottom
"R22","1K","R0603",126.200000,-98.200000,0.000000,bottom
"R23","100Ω","R0603",133.800000,-98.200000,0.000000,bottom
"R25","10Ω","R_0603",116.400000,-125.200000,-90.000000,bottom
"R26","HOJLR2512-3W-100MR-1%","RES-SMD_L6.4-W3.2-R2512",137.000000,-92.900000,180.000000,bottom
"R27","1kΩ","R_0603",116.400000,-122.000000,-90.000000,bottom
"R28","1kΩ","R_0603",108.400000,-125.200000,90.000000,bottom
"R29","10Ω","R_0603",110.200000,-125.200000,-90.000000,bottom
"R30","1kΩ","R_0603",138.700000,-125.100000,90.000000,bottom
"R31","1kΩ","R_0603",146.700000,-121.700000,-90.000000,bottom
"R32","10Ω","R_0603",140.900000,-125.100000,-90.000000,bottom
"R33","10Ω","R_0603",146.700000,-125.100000,-90.000000,bottom
"R34","1kΩ","R_0603",198.500000,-125.100000,90.000000,bottom
"R35","1kΩ","R_0603",206.200000,-121.800000,-90.000000,bottom
"R36","10Ω","R_0603",200.100000,-125.100000,-90.000000,bottom
"R37","10Ω","R_0603",206.200000,-125.100000,-90.000000,bottom
"R38","1kΩ","R_0603",167.900000,-125.000000,90.000000,bottom
"R39","1kΩ","R_0603",176.600000,-122.000000,-90.000000,bottom
"R40","10Ω","R_0603",169.800000,-125.000000,-90.000000,bottom
"R41","10Ω","R_0603",176.600000,-125.000000,-90.000000,bottom
"U5","DW01A","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",130.300000,-98.200000,90.000000,bottom
"U8","MAX3485EESA","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",113.172500,-116.100000,0.000000,bottom
"U9","INA219AIDCNR","SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR",129.100000,-93.700000,0.000000,bottom
"U10","MAX3485EESA","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",143.300000,-116.200000,0.000000,bottom
"U11","MAX3485EESA","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",202.300000,-115.900000,0.000000,bottom
"U12","MAX3485EESA","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",172.900000,-116.600000,0.000000,bottom
"C1","18pF","C_0603",154.470000,-109.630000,0.000000,top
"C2","18pF","C_0603",154.670000,-115.030000,180.000000,top
"C3","100nF","C_0603",100.400000,-123.400000,180.000000,top
"C4","10uF","CASE-A_3216",100.300000,-121.700000,0.000000,top
"C5","4.7uF","C0603",169.600000,-106.200000,90.000000,top
"C6","10nF","C0603",167.800000,-106.200000,90.000000,top
"C7","6.8nF","C0603",194.200000,-106.200000,180.000000,top
"C8","10nF","C0603",181.300000,-112.400000,0.000000,top
"C9","1nF","C1206",201.200000,-112.300000,-90.000000,top
"C10","22nF","C0603",198.100000,-114.000000,180.000000,top
"C11","6.8nF","C0603",194.200000,-104.400000,180.000000,top
"C12","100nF","C_0603",131.900000,-107.900000,-90.000000,top
"C13","100nF","C_0603",176.700000,-123.000000,90.000000,top
"C14","100nF","C_0603",178.200000,-123.000000,90.000000,top
"C15","100nF","C_0603",179.650000,-123.000000,90.000000,top
"C16","100nF","C_0603",181.100000,-123.000000,90.000000,top
"C17","100nF","C_0603",182.570000,-123.000000,90.000000,top
"C18","100nF","C_0603",184.000000,-123.000000,90.000000,top
"C19","10uF","CASE-A_3216",185.900000,-123.000000,-90.000000,top
"C21","10uF","C0603",138.800000,-101.400000,0.000000,top
"C22","1uF","C_0603",137.800000,-94.400000,0.000000,top
"C23","1uF","C_0603",141.900000,-90.000000,180.000000,top
"D1","SS34_C154551","SMC_L6.9-W5.9-LS7.9-RD",196.700000,-119.700000,0.000000,top
"D2","SS34_C154551","SMC_L6.9-W5.9-LS7.9-RD",151.400000,-101.000000,0.000000,top
"D3","SS34_C154551","SMC_L6.9-W5.9-LS7.9-RD",151.500000,-94.200000,0.000000,top
"J1","DIN-323PP","CONN-TH_DIN-323PP",203.750000,-133.850000,0.000000,top
"J3","DIN-323PP","CONN-TH_DIN-323PP",173.750000,-133.850000,0.000000,top
"J4","DIN-323PP","CONN-TH_DIN-323PP",143.750000,-133.850000,0.000000,top
"J5","DIN-323PP","CONN-TH_DIN-323PP",113.750000,-133.850000,0.000000,top
"L1","BLM18SG121TN1D","C0603",173.100000,-123.100000,90.000000,top
"L2","BLM18SG121TN1D","C0603",174.900000,-123.100000,-90.000000,top
"LDO1","ME6211C33M5G-N","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",138.400000,-92.000000,90.000000,top
"LED1","GREEN","C0603",148.000000,-107.100000,180.000000,top
"LED2","RED","C0603",148.000000,-105.400000,180.000000,top
"Q1","FS8205","SOT-23-6",130.300000,-98.200000,180.000000,top
"Q2","AO3401_C5296722","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",143.900000,-93.900000,0.000000,top
"R1","1M","R0603",158.270000,-112.230000,-90.000000,top
"R2","12.4K","R0603",178.000000,-112.400000,180.000000,top
"R3","49.9K","R0603",181.300000,-117.200000,0.000000,top
"R4","10K","R0603",198.200000,-115.700000,180.000000,top
"R5","330","R0603",162.500000,-112.900000,180.000000,top
"R6","49.9K","R0603",181.300000,-118.800000,0.000000,top
"R7","49.9K","R0603",181.300000,-114.000000,180.000000,top
"R8","49.9K","R0603",181.300000,-115.600000,180.000000,top
"R9","330","R0603",162.500000,-111.300000,180.000000,top
"R10","33","R0603",178.000000,-117.200000,0.000000,top
"R11","33","R0603",178.000000,-118.800000,0.000000,top
"R12","33","R0603",178.000000,-114.000000,0.000000,top
"R13","33","R0603",178.000000,-115.600000,0.000000,top
"R14","4.7K","R0603",169.100000,-121.400000,0.000000,top
"R15","4.7K","R0603",119.500000,-113.800000,0.000000,top
"R16","4.7K","R0603",119.500000,-112.300000,0.000000,top
"R17","5.1kΩ","R_0402",208.700000,-120.200000,0.000000,top
"R18","5.1kΩ","R_0402",208.700000,-117.100000,0.000000,top
"R19","1K","R0603",144.400000,-107.100000,180.000000,top
"R20","1K","R0603",144.400000,-105.400000,0.000000,top
"R21","1.2KΩ","R0603",133.900000,-106.400000,-90.000000,top
"R24","100kΩ","R_0603",140.400000,-103.000000,0.000000,top
"SW1","SKRTLAE010","KEY-SMD_SKRTLAE010",155.300000,-87.600000,180.000000,top
"SW2","SKRTLAE010","KEY-SMD_SKRTLAE010",138.000000,-87.600000,180.000000,top
"SW3","SKRTLAE010","KEY-SMD_SKRTLAE010",146.800000,-87.600000,180.000000,top
"U1","W5500","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",170.300000,-114.700000,90.000000,top
"U2","HR861153C","RJ45-TH_ARJP11A-MASA-B-A-EMU2",204.250000,-100.900000,90.000000,top
"U3","DP1435-5V","PWRM-TH_DP1435-XX",175.100000,-95.100000,180.000000,top
"U4","TP4056","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",138.890000,-106.410000,-90.000000,top
"U6","2.0MM-2P ZZ","CONN-TH_2P-P2.00_HX-2.0MM-2P-ZZ",139.000000,-97.150000,180.000000,top
"U7","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",103.100000,-109.100000,90.000000,top
"U13","HS96L03W2C03","OLED-TH_L27.8-W27.2-P2.54_C9900033791",113.900000,-89.200000,0.000000,top
"USB1","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-6PIN-2MD-073",212.817500,-118.700000,90.000000,top
"X2","25MHz","CRYSTAL-SMD_4P-L3.2-W2.5-BL-1",154.570000,-112.430000,180.000000,top
